国家,中国
指标名称,中国:制造业PMI
频率,月
单位,%
指标ID,M0017126
时间区间,2005-01:2025-04
来源,国家统计局
更新时间,20250430
2005/1/31,54.7
2005/2/28,54.5
2005/3/31,57.9
2005/4/30,56.7
2005/5/31,52.9
2005/6/30,51.7
2005/7/31,51.1
2005/8/31,52.6
2005/9/30,55.1
2005/10/31,54.1
2005/11/30,54.1
2005/12/31,54.3
2006/1/31,52.1
2006/2/28,52.1
2006/3/31,55.3
2006/4/30,58.1
2006/5/31,54.8
2006/6/30,54.1
2006/7/31,52.4
2006/8/31,53.1
2006/9/30,57
2006/10/31,54.7
2006/11/30,55.3
2006/12/31,54.8
2007/1/31,55.1
2007/2/28,53.1
2007/3/31,56.1
2007/4/30,58.6
2007/5/31,55.7
2007/6/30,54.5
2007/7/31,53.3
2007/8/31,54
2007/9/30,56.1
2007/10/31,53.2
2007/11/30,55.4
2007/12/31,55.3
2008/1/31,53
2008/2/29,53.4
2008/3/31,58.4
2008/4/30,59.2
2008/5/31,53.3
2008/6/30,52
2008/7/31,48.4
2008/8/31,48.4
2008/9/30,51.2
2008/10/31,44.6
2008/11/30,38.8
2008/12/31,41.2
2009/1/31,45.3
2009/2/28,49
2009/3/31,52.4
2009/4/30,53.5
2009/5/31,53.1
2009/6/30,53.2
2009/7/31,53.3
2009/8/31,54
2009/9/30,54.3
2009/10/31,55.2
2009/11/30,55.2
2009/12/31,56.6
2010/1/31,55.8
2010/2/28,52
2010/3/31,55.1
2010/4/30,55.7
2010/5/31,53.9
2010/6/30,52.1
2010/7/31,51.2
2010/8/31,51.7
2010/9/30,53.8
2010/10/31,54.7
2010/11/30,55.2
2010/12/31,53.9
2011/1/31,52.9
2011/2/28,52.2
2011/3/31,53.4
2011/4/30,52.9
2011/5/31,52
2011/6/30,50.9
2011/7/31,50.7
2011/8/31,50.9
2011/9/30,51.2
2011/10/31,50.4
2011/11/30,49
2011/12/31,50.3
2012/1/31,50.5
2012/2/29,51
2012/3/31,53.1
2012/4/30,53.3
2012/5/31,50.4
2012/6/30,50.2
2012/7/31,50.1
2012/8/31,49.2
2012/9/30,49.8
2012/10/31,50.2
2012/11/30,50.6
2012/12/31,50.6
2013/1/31,50.4
2013/2/28,50.1
2013/3/31,50.9
2013/4/30,50.6
2013/5/31,50.8
2013/6/30,50.1
2013/7/31,50.3
2013/8/31,51
2013/9/30,51.1
2013/10/31,51.4
2013/11/30,51.4
2013/12/31,51
2014/1/31,50.5
2014/2/28,50.2
2014/3/31,50.3
2014/4/30,50.4
2014/5/31,50.8
2014/6/30,51
2014/7/31,51.7
2014/8/31,51.1
2014/9/30,51.1
2014/10/31,50.8
2014/11/30,50.3
2014/12/31,50.1
2015/1/31,49.8
2015/2/28,49.9
2015/3/31,50.1
2015/4/30,50.1
2015/5/31,50.2
2015/6/30,50.2
2015/7/31,50
2015/8/31,49.7
2015/9/30,49.8
2015/10/31,49.8
2015/11/30,49.6
2015/12/31,49.7
2016/1/31,49.4
2016/2/29,49
2016/3/31,50.2
2016/4/30,50.1
2016/5/31,50.1
2016/6/30,50
2016/7/31,49.9
2016/8/31,50.4
2016/9/30,50.4
2016/10/31,51.2
2016/11/30,51.7
2016/12/31,51.4
2017/1/31,51.3
2017/2/28,51.6
2017/3/31,51.8
2017/4/30,51.2
2017/5/31,51.2
2017/6/30,51.7
2017/7/31,51.4
2017/8/31,51.7
2017/9/30,52.4
2017/10/31,51.6
2017/11/30,51.8
2017/12/31,51.6
2018/1/31,51.3
2018/2/28,50.3
2018/3/31,51.5
2018/4/30,51.4
2018/5/31,51.9
2018/6/30,51.5
2018/7/31,51.2
2018/8/31,51.3
2018/9/30,50.8
2018/10/31,50.2
2018/11/30,50
2018/12/31,49.4
2019/1/31,49.5
2019/2/28,49.2
2019/3/31,50.5
2019/4/30,50.1
2019/5/31,49.4
2019/6/30,49.4
2019/7/31,49.7
2019/8/31,49.5
2019/9/30,49.8
2019/10/31,49.3
2019/11/30,50.2
2019/12/31,50.2
2020/1/31,50
2020/2/29,35.7
2020/3/31,52
2020/4/30,50.8
2020/5/31,50.6
2020/6/30,50.9
2020/7/31,51.1
2020/8/31,51
2020/9/30,51.5
2020/10/31,51.4
2020/11/30,52.1
2020/12/31,51.9
2021/1/31,51.3
2021/2/28,50.6
2021/3/31,51.9
2021/4/30,51.1
2021/5/31,51
2021/6/30,50.9
2021/7/31,50.4
2021/8/31,50.1
2021/9/30,49.6
2021/10/31,49.2
2021/11/30,50.1
2021/12/31,50.3
2022/1/31,50.1
2022/2/28,50.2
2022/3/31,49.5
2022/4/30,47.4
2022/5/31,49.6
2022/6/30,50.2
2022/7/31,49
2022/8/31,49.4
2022/9/30,50.1
2022/10/31,49.2
2022/11/30,48
2022/12/31,47
2023/1/31,50.1
2023/2/28,52.6
2023/3/31,51.9
2023/4/30,49.2
2023/5/31,48.8
2023/6/30,49
2023/7/31,49.3
2023/8/31,49.7
2023/9/30,50.2
2023/10/31,49.5
2023/11/30,49.4
2023/12/31,49
2024/1/31,49.2
2024/2/29,49.1
2024/3/31,50.8
2024/4/30,50.4
2024/5/31,49.5
2024/6/30,49.5
2024/7/31,49.4
2024/8/31,49.1
2024/9/30,49.8
2024/10/31,50.1
2024/11/30,50.3
2024/12/31,50.1
2025/1/31,49.1
2025/2/28,50.2
2025/3/31,50.5
2025/4/30,49
,
数据来源：Wind,
